Severity	Code	Description	Project	File	Line	Suppression State
Warning	S108	Either remove or fill this block of code.	Glass.Message	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	1093	Active
Message (active)	CA1825	Avoid unnecessary zero-length array allocations.  Use Array.Empty<string>() instead.	Glass.Message.Tests	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message.Tests\GlassMessageTests.cs	222	
Message (active)	CA1859	Using concrete types avoids virtual or interface call overhead and enables inlining.	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	96	
Message (active)	CA2263	Using a generic overload is preferable to the 'System.Type' overload when the type is known, promoting cleaner and more type-safe code with improved compile-time checks.	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	1109	
Message (active)	IDE0007	use 'var' instead of explicit type	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	198	
Message (active)	IDE0007	use 'var' instead of explicit type	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	231	
Message (active)	IDE0007	use 'var' instead of explicit type	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	393	
Message (active)	IDE0007	use 'var' instead of explicit type	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	1086	
Message (active)	IDE0007	use 'var' instead of explicit type	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	1589	
Message (active)	IDE0007	use 'var' instead of explicit type	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	1590	
Message (active)	IDE0007	use 'var' instead of explicit type	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	1602	
Message (active)	IDE0007	use 'var' instead of explicit type	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	1606	
Message (active)	IDE0011	Add braces to 'if' statement.	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	195	
Message (active)	IDE0011	Add braces to 'using' statement.	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	228	
Message (active)	IDE0011	Add braces to 'if' statement.	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	303	
Message (active)	IDE0011	Add braces to 'if' statement.	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	325	
Message (active)	IDE0011	Add braces to 'if' statement.	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	326	
Message (active)	IDE0011	Add braces to 'if' statement.	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	327	
Message (active)	IDE0011	Add braces to 'if' statement.	Glass.Message (net10.0-windows), Glass.Message (net481), Glass.Message (net8.0-windows), Glass.Message (net9.0-windows)	C:\Gehan\Projects\CSharp_Projects\Glass\Glass.Message\GlassDialog.cs	329	
